time,open,high,low,close,volume
2017-05-31 12:00:00,3102000.0,3107000.0,2963000.0,2996000.0,11139.87076981
2017-06-01 00:00:00,3000000.0,3110000.0,2996000.0,3073000.0,8279.46463376
2017-06-01 12:00:00,3072000.0,3158000.0,3000000.0,3119000.0,10731.6769977
2017-06-02 00:00:00,3119000.0,3157000.0,3078000.0,3096000.0,9899.32317962
2017-06-02 12:00:00,3096000.0,3110000.0,3053000.0,3083000.0,9472.61044264
2017-06-03 00:00:00,3083000.0,3196000.0,3070000.0,3120000.0,6220.49248831
2017-06-03 12:00:00,3119000.0,3125000.0,3000000.0,3105000.0,8624.43219251
2017-06-04 00:00:00,3105000.0,3150000.0,3076000.0,3088000.0,4874.38000291
2017-06-04 12:00:00,3088000.0,3108000.0,3060000.0,3070000.0,5255.90239379
2017-06-05 00:00:00,3070000.0,3095000.0,3053000.0,3089000.0,4101.4009918
2017-06-05 12:00:00,3089000.0,3101000.0,3075000.0,3098000.0,6192.43484059
2017-06-06 00:00:00,3095000.0,3422000.0,3075000.0,3422000.0,15729.93642767
2017-06-06 12:00:00,3422000.0,3449000.0,3250000.0,3326000.0,15714.85157358
2017-06-07 00:00:00,3327000.0,3390000.0,3253000.0,3367000.0,5960.52198668
2017-06-07 12:00:00,3367000.0,3383000.0,3275000.0,3305000.0,8232.20772401
2017-06-08 00:00:00,3305000.0,3309000.0,3161000.0,3224000.0,8602.2233292
2017-06-08 12:00:00,3220000.0,3296000.0,3200000.0,3210000.0,10244.34330951
2017-06-09 00:00:00,3210000.0,3300000.0,3196000.0,3293000.0,5929.64814976
2017-06-09 12:00:00,3290000.0,3335000.0,3254000.0,3310000.0,6649.43257045
2017-06-10 00:00:00,3309000.0,3310000.0,3238000.0,3277000.0,6609.59489756
2017-06-10 12:00:00,3276000.0,3336000.0,3251000.0,3307000.0,7936.32296426
2017-06-11 00:00:00,3306000.0,3319000.0,3255000.0,3290000.0,8095.73746236
2017-06-11 12:00:00,3289000.0,3295000.0,3235000.0,3272000.0,8830.14922195
2017-06-12 00:00:00,3270000.0,3390000.0,3269000.0,3343000.0,7818.04785189
2017-06-12 12:00:00,3343000.0,3395000.0,3251000.0,3274000.0,11723.31991814
2017-06-13 00:00:00,3274000.0,3281000.0,3101000.0,3201000.0,11075.58438589
2017-06-13 12:00:00,3210000.0,3270000.0,3181000.0,3211000.0,10077.23873528
2017-06-14 00:00:00,3202000.0,3235000.0,3176000.0,3221000.0,6882.84109636
2017-06-14 12:00:00,3216000.0,3222000.0,3105000.0,3152000.0,10411.61492699
2017-06-15 00:00:00,3152000.0,3153000.0,2851000.0,3020000.0,12946.04867673
2017-06-15 12:00:00,3020000.0,3030000.0,2675000.0,2880000.0,17219.19435832
2017-06-16 00:00:00,2880000.0,3084000.0,2814000.0,2995000.0,10021.30433347
2017-06-16 12:00:00,2995000.0,3083000.0,2993000.0,3024000.0,8335.92088054
2017-06-17 00:00:00,3025000.0,3089000.0,3013000.0,3081000.0,4899.22414478
2017-06-17 12:00:00,3083000.0,3221000.0,3080000.0,3154000.0,9080.18106649
2017-06-18 00:00:00,3154000.0,3250000.0,3151000.0,3221000.0,7354.86042592
2017-06-18 12:00:00,3224000.0,3225000.0,3120000.0,3155000.0,6584.13965482
2017-06-19 00:00:00,3155000.0,3195000.0,3148000.0,3191000.0,4111.80641421
2017-06-19 12:00:00,3191000.0,3213000.0,3175000.0,3198000.0,8743.62485794
2017-06-20 00:00:00,3199000.0,3279000.0,3196000.0,3267000.0,7106.39725572
2017-06-20 12:00:00,3266000.0,3300000.0,3250000.0,3297000.0,9041.72476158
2017-06-21 00:00:00,3299000.0,3499000.0,3297000.0,3397000.0,13583.75900999
2017-06-21 12:00:00,3396000.0,3545000.0,3342000.0,3437000.0,18932.47539318
2017-06-22 00:00:00,3438000.0,3476000.0,3280000.0,3410000.0,9341.0583931
2017-06-22 12:00:00,3424000.0,3457000.0,3350000.0,3435000.0,10179.15569139
2017-06-23 00:00:00,3435000.0,3494000.0,3404000.0,3473000.0,6503.02089016
2017-06-23 12:00:00,3474000.0,3474000.0,3400000.0,3445000.0,8782.55752181
2017-06-24 00:00:00,3446000.0,3483000.0,3415000.0,3436000.0,4764.29670632
2017-06-24 12:00:00,3436000.0,3450000.0,3340000.0,3394000.0,6999.01631037
2017-06-25 00:00:00,3395000.0,3420000.0,3304000.0,3364000.0,3451.85953455
2017-06-25 12:00:00,3379000.0,3435000.0,3313000.0,3414000.0,6450.45500032
2017-06-26 00:00:00,3414000.0,3450000.0,3336000.0,3384000.0,5423.29519103
2017-06-26 12:00:00,3384000.0,3385000.0,3250000.0,3251000.0,9414.4355498
2017-06-27 00:00:00,3250000.0,3294000.0,3095000.0,3227000.0,8496.33122319
2017-06-27 12:00:00,3226000.0,3228000.0,2889000.0,3005000.0,11428.08719223
2017-06-28 00:00:00,3000000.0,3187000.0,2970000.0,3065000.0,10492.40289049
2017-06-28 12:00:00,3065000.0,3150000.0,3050000.0,3088000.0,9266.13924453
2017-06-29 00:00:00,3084000.0,3179000.0,3083000.0,3114000.0,7494.22262698
2017-06-29 12:00:00,3116000.0,3130000.0,3030000.0,3063000.0,8132.48844037
2017-06-30 00:00:00,3068000.0,3121000.0,3050000.0,3091000.0,5388.6179729
2017-06-30 12:00:00,3095000.0,3100000.0,3052000.0,3087000.0,6582.36475921
2017-07-01 00:00:00,3087000.0,3124000.0,3061000.0,3071000.0,3959.02706622
2017-07-01 12:00:00,3077000.0,3099000.0,3012000.0,3050000.0,5515.10357252
2017-07-02 00:00:00,3050000.0,3080000.0,2970000.0,3003000.0,4081.21831294
2017-07-02 12:00:00,3003000.0,3034000.0,2929000.0,2999000.0,5664.32033829
2017-07-03 00:00:00,2999000.0,3037000.0,2990000.0,3008000.0,3636.67811391
2017-07-03 12:00:00,3008000.0,3139000.0,3001000.0,3092000.0,8083.81554529
2017-07-04 00:00:00,3093000.0,3150000.0,3017000.0,3127000.0,6867.85556462
2017-07-04 12:00:00,3127000.0,3168000.0,3100000.0,3126000.0,6829.22835542
2017-07-05 00:00:00,3128000.0,3150000.0,3090000.0,3098000.0,4888.6941558
2017-07-05 12:00:00,3098000.0,3108000.0,3042000.0,3100000.0,6201.25197275
2017-07-06 00:00:00,3100000.0,3127000.0,3078000.0,3119000.0,3483.51803693
2017-07-06 12:00:00,3119000.0,3120000.0,3095000.0,3108000.0,3991.02323268
2017-07-07 00:00:00,3108000.0,3129000.0,3090000.0,3092000.0,3061.13293219
2017-07-07 12:00:00,3092000.0,3099000.0,3040000.0,3062000.0,5732.55256909
2017-07-08 00:00:00,3063000.0,3093000.0,2931000.0,3051000.0,4768.53292281
2017-07-08 12:00:00,3051000.0,3078000.0,3013000.0,3054000.0,4454.8082882
2017-07-09 00:00:00,3056000.0,3098000.0,3030000.0,3087000.0,2358.36999597
2017-07-09 12:00:00,3086000.0,3090000.0,3030000.0,3048000.0,2416.15839384
2017-07-10 00:00:00,3048000.0,3068000.0,3010000.0,3017000.0,2293.31976631
2017-07-10 12:00:00,3017000.0,3035000.0,2977000.0,2980000.0,5257.57108879
2017-07-11 00:00:00,2980000.0,3000000.0,2789000.0,2830000.0,6558.47950083
2017-07-11 12:00:00,2833000.0,2970000.0,2705000.0,2843000.0,11076.2768636
2017-07-12 00:00:00,2841000.0,2898000.0,2796000.0,2797000.0,4157.68111821
2017-07-12 12:00:00,2800000.0,2848000.0,2789000.0,2829000.0,6311.92343389
2017-07-13 00:00:00,2830000.0,2940000.0,2819000.0,2890000.0,7510.64868112
2017-07-13 12:00:00,2890000.0,2896000.0,2804000.0,2831000.0,5342.42054337
2017-07-14 00:00:00,2831000.0,2851000.0,2731000.0,2748000.0,4631.36334441
